Age,AnnualIncome,CreditScore,EducationLevel,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,LoanApproved
52,27564,611,2,30,25693,60,0,305,0,4,2,0,0,0,27,21,3707,194,32627,34090,2297,0,1,1525,0,0,724,0,55,0,0,1,0,0,0,0,1,0,1,0,0,0
56,84567,507,3,34,39411,84,0,95,0,2,1,0,0,0,25,3,1367,350,90370,46410,7047,0,6,43960,0,0,1107,0,54,0,0,1,0,0,0,0,0,0,0,1,0,0
44,34726,536,1,23,20004,96,3,1544,0,2,0,0,0,0,18,13,7327,1024,49960,17011,2893,0,7,32949,0,0,490,0,52,0,0,1,0,0,0,1,0,0,0,1,0,0
18,59357,553,3,0,50497,36,2,751,0,5,0,0,0,0,19,27,8155,1767,19421,12863,4946,0,5,6558,0,0,1974,0,56,0,1,0,0,0,1,0,0,0,0,1,0,0
35,26802,655,5,12,44637,96,0,445,0,3,1,0,0,0,31,3,5375,418,56659,23752,2233,0,6,32907,0,0,1095,0,51,0,0,1,0,0,0,0,0,0,0,1,0,0
18,58838,544,4,0,17802,60,0,404,0,2,2,0,0,0,30,16,1617,811,96940,24534,4903,0,3,72406,0,0,507,0,42,0,0,1,0,0,0,0,0,0,0,1,0,1
26,47077,438,1,5,22692,60,0,440,0,3,1,0,0,0,26,22,3167,536,43412,30849,3923,0,3,12563,0,0,797,0,56,0,0,1,0,0,0,0,1,0,0,1,0,0
30,22308,518,1,4,22287,36,1,753,0,6,1,0,0,0,35,16,8010,740,92403,14419,1859,0,10,77984,0,0,901,0,55,0,0,1,0,0,0,1,0,0,0,1,0,0
55,34286,608,4,32,24841,24,0,253,0,7,2,0,0,0,18,18,3478,379,103454,56864,2857,0,2,46590,0,0,1279,0,49,0,0,1,0,0,0,0,1,0,0,1,0,0
37,97581,643,5,15,20354,84,0,669,0,4,1,0,0,0,26,9,13147,535,107216,51780,8131,0,5,55436,0,0,507,0,46,0,0,1,0,0,0,0,1,0,0,0,0,0
42,39497,583,1,18,23198,12,1,494,0,1,1,0,0,0,23,17,3381,379,24278,24867,2057,0,4,2772,0,0,2124,1,52,0,0,1,0,0,0,0,1,1,0,0,0,0
20,15000,476,4,0,22538,48,0,316,0,6,2,0,0,0,35,9,3180,1570,57164,22095,1250,0,6,35069,0,0,858,0,56,0,0,0,1,0,0,1,0,0,0,1,0,0
32,38990,578,5,9,16239,12,0,492,0,3,0,0,0,1,25,26,654,1415,13215,19281,3249,0,3,6996,0,0,1507,0,56,0,0,1,0,0,0,0,0,0,1,0,0,0
43,72858,563,3,18,15786,48,3,390,0,4,2,0,0,0,13,18,2367,1124,13319,64696,6071,0,7,6735,0,0,538,0,51,0,0,0,1,0,0,0,1,0,0,0,0,0
37,34287,523,1,15,30223,120,1,261,0,3,2,0,0,0,25,7,564,3754,72689,34154,2857,0,6,38535,0,0,722,0,56,0,0,1,0,0,0,1,0,0,0,1,0,0
56,23023,602,4,33,15965,96,1,185,0,3,1,0,0,0,23,24,1485,824,9273,20980,1918,0,3,3261,0,0,408,0,59,1,0,0,1,0,0,0,1,1,0,0,0,0
54,70125,592,1,31,18720,120,2,356,0,3,2,0,0,0,19,7,1207,2038,106472,43963,5843,0,3,62509,0,0,479,0,56,0,0,0,0,0,0,0,0,1,0,0,0,0
45,43836,621,3,21,27277,36,1,426,0,3,1,0,0,0,31,6,8695,96,87950,5166,3653,0,4,82784,0,0,1010,0,56,0,0,0,1,0,0,0,0,0,0,1,0,0
47,68894,611,2,23,35420,24,3,551,0,4,2,0,0,0,17,19,26102,1746,658607,28453,5741,0,4,630154,0,0,1810,0,35,0,0,0,1,0,0,0,0,0,0,0,1,1
18,38658,483,2,0,21321,36,3,178,0,2,1,0,0,0,24,25,2400,4062,64145,6695,3221,0,6,57450,0,0,849,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0
23,43847,591,2,4,19672,60,2,517,0,3,0,0,0,0,25,21,4580,1555,32237,23120,3653,0,4,9117,0,0,536,0,50,0,0,1,0,0,0,0,1,0,1,0,0,0
35,23131,589,4,13,10253,12,0,156,0,0,0,0,0,0,26,12,2531,1789,125300,6800,1927,0,5,118500,0,0,932,0,47,0,0,1,0,0,0,0,1,0,0,0,0,0
26,35224,548,3,3,29846,108,1,420,0,2,0,0,0,0,30,2,648,2814,50188,18452,2935,0,5,31736,0,0,765,0,62,0,0,0,0,0,0,0,1,1,0,0,0,0
39,33190,491,1,13,24345,36,1,350,0,3,1,0,0,0,21,22,3468,2495,123232,47503,2765,0,2,75729,0,0,971,0,53,0,0,1,0,0,0,0,1,1,0,0,0,0
52,29764,537,3,30,14336,48,2,628,0,2,2,0,0,0,23,22,7670,7344,23162,10781,2480,0,4,12381,0,0,465,0,59,0,0,0,1,0,0,1,0,1,0,0,0,0
33,40630,573,1,11,8733,48,1,307,0,3,0,0,0,0,21,20,12192,662,94256,46237,3385,0,7,48019,0,0,254,0,40,0,0,1,0,0,0,1,0,0,1,0,0,1
49,25197,543,3,25,34032,60,5,343,0,4,2,0,1,0,16,27,3290,4532,141710,5377,2099,0,4,136333,0,0,1048,0,67,1,0,0,1,0,0,0,0,1,0,0,0,0
46,59998,544,2,26,56657,36,1,249,0,1,1,0,0,0,26,22,3306,1318,150703,39463,4999,0,5,111240,0,0,2409,0,56,0,1,0,1,0,0,1,0,0,0,1,0,0
51,19771,568,1,30,18517,96,2,360,0,2,0,0,0,0,21,19,2713,1832,10163,19638,1647,0,4,2970,0,0,541,0,51,0,0,1,0,0,0,1,0,0,0,1,0,0
54,19360,557,2,30,40796,72,2,640,0,0,0,0,0,0,23,21,3866,5928,51743,7770,1613,0,4,43973,0,0,1132,1,61,1,0,1,0,0,0,0,0,0,0,0,0,0
32,51910,609,3,7,20441,12,2,396,0,1,3,0,0,0,21,6,2128,2431,55143,99681,4325,0,5,7010,0,0,1884,0,48,0,0,0,1,0,0,0,1,0,0,1,0,0
46,57997,599,3,24,21112,24,0,313,0,1,0,0,0,0,20,28,2081,2703,88133,3259,4833,0,11,84874,0,0,1061,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1
45,67455,659,5,24,29548,60,0,451,0,1,0,0,0,0,24,22,7745,1006,14728,4555,5621,0,8,10173,0,0,781,0,34,0,0,1,0,0,0,1,0,0,0,0,1,1
48,34130,541,1,28,28320,60,0,293,0,2,2,0,0,0,21,26,11321,1207,130065,113620,2844,0,9,16445,0,0,924,0,55,0,0,1,0,0,0,0,1,0,0,1,0,0
33,32701,578,5,9,14662,96,1,375,0,5,2,0,0,0,26,28,1109,875,40457,64158,2725,0,4,10408,0,0,347,0,54,0,0,1,0,0,1,0,0,1,0,0,0,0
34,80737,508,4,13,16459,120,5,529,0,2,0,0,0,0,18,17,619,2734,10976,62360,6728,0,4,10451,0,0,465,0,50,0,0,1,0,0,0,0,0,0,1,0,0,0
46,105921,588,4,24,27115,72,0,566,0,3,4,0,0,0,27,26,2133,1995,396723,24580,8826,0,6,372143,0,0,750,0,36,0,0,1,0,0,0,0,0,0,0,0,1,1
21,69652,415,3,0,16640,36,2,482,0,5,2,0,0,1,15,20,1457,669,20260,22709,5804,0,6,10955,0,0,712,0,61,0,0,0,0,0,0,0,0,1,0,0,0,0
65,15755,503,1,37,15932,72,1,329,0,5,2,0,0,0,22,5,5949,958,67557,8478,1312,0,2,59079,0,0,464,0,51,0,0,1,0,0,1,0,0,0,0,1,0,0
43,23831,627,2,22,7449,60,1,349,0,3,2,0,0,0,17,28,2144,465,29434,44422,1985,0,6,1037,0,0,201,0,49,0,0,1,0,0,0,0,1,1,0,0,0,0
18,15000,508,1,0,9889,108,2,531,0,2,0,0,0,0,34,14,2134,2953,101009,9209,1250,0,3,91800,0,0,241,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0
54,55278,542,4,31,29971,48,0,395,0,2,1,0,0,0,20,23,1174,3986,24341,357065,4606,0,0,9024,0,0,948,0,52,0,0,1,0,0,0,0,1,0,0,1,0,0
32,62019,515,3,5,14815,36,4,362,0,3,0,0,0,0,24,3,9702,5409,19121,14941,5168,0,3,4180,0,0,597,0,53,0,0,1,0,0,1,0,0,1,0,0,0,0
39,82227,515,3,13,58755,48,2,461,0,7,0,0,0,0,22,20,2884,6947,44606,13950,6852,0,3,30656,0,0,2144,0,48,0,0,1,0,0,0,0,0,0,0,1,0,0
54,70494,577,1,29,17581,48,0,322,0,4,2,0,0,0,29,27,2049,1167,55315,9338,5874,0,9,45977,0,0,534,0,45,0,1,1,0,0,1,0,0,0,1,0,0,1
45,137663,562,4,25,15425,60,0,517,0,0,0,0,0,0,18,3,3169,5260,24620,30976,11471,0,4,2562,0,0,455,0,42,0,0,1,0,0,1,0,0,1,0,0,0,1
36,30915,482,4,12,38083,36,2,450,0,4,0,0,0,0,23,18,5392,469,54075,1449,2576,0,3,52626,0,0,1641,0,52,0,1,1,0,0,1,0,0,0,0,1,0,0
18,23373,601,3,0,37256,60,4,674,0,4,0,0,0,0,26,24,2933,1449,136343,6718,1947,0,3,129625,0,0,1088,0,50,0,1,1,0,0,0,1,0,0,0,0,0,0
26,139251,576,2,3,11526,60,3,390,0,4,0,0,0,0,29,3,7610,853,124824,68032,11604,0,4,56792,0,0,317,0,39,0,0,0,0,0,0,0,0,1,0,0,0,1
54,31823,641,2,30,24759,36,3,334,0,2,0,0,0,0,25,7,3654,2057,48018,10756,2651,0,5,37262,0,0,929,0,54,0,0,0,0,0,0,0,1,0,0,1,0,0
52,33625,571,3,31,27132,36,0,564,0,3,0,0,0,0,24,15,4454,552,41618,9617,2802,0,5,32001,0,0,1058,0,54,0,0,1,0,0,0,1,0,1,0,0,0,0
43,93763,522,2,18,8495,24,1,577,0,3,2,0,0,0,25,27,2127,4746,42276,17999,7813,0,9,24277,0,0,440,0,42,0,0,1,0,0,0,0,0,0,1,0,0,1
24,16196,534,1,1,22996,72,2,725,0,7,0,0,0,0,27,3,913,314,28888,22748,1349,0,6,6140,0,0,590,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
45,86757,593,3,20,7590,36,2,459,0,1,1,0,0,0,29,27,1298,571,130636,12966,7229,0,8,117670,0,0,279,0,40,0,0,0,1,0,0,1,0,0,0,1,0,1
47,46075,626,4,22,27890,36,2,634,0,2,2,0,0,0,20,22,1162,568,25904,3921,3839,0,5,21983,0,0,1061,0,49,0,0,0,1,0,0,0,1,0,0,1,0,0
41,88852,580,3,17,12805,24,4,284,0,2,2,0,0,0,25,10,11844,2046,68218,19732,7404,0,8,48486,0,0,645,0,43,0,0,1,0,0,0,1,0,0,0,1,0,1
42,141760,614,1,22,28655,48,3,338,0,4,2,0,0,0,27,9,3187,389,67666,33160,11813,0,6,34506,0,0,865,0,39,0,0,0,0,1,1,0,0,1,0,0,0,1
46,60863,601,3,24,13981,108,1,503,0,7,1,0,1,0,14,18,9812,3436,43831,30140,5071,0,6,13691,0,0,372,0,62,0,0,0,1,0,0,0,1,1,0,0,0,0
46,51340,619,3,25,20465,24,1,910,0,4,1,0,0,0,16,26,1032,4598,27629,3569,4278,0,5,24060,0,0,1022,0,57,0,1,1,0,0,0,0,1,0,0,0,1,0
50,48657,564,1,30,20071,36,4,482,0,3,0,0,0,0,22,2,14524,4857,44365,77530,4054,0,6,4146,0,0,778,0,60,0,0,1,0,0,0,0,0,0,0,1,0,0
46,21348,568,3,21,42929,72,1,591,0,2,2,0,0,0,30,14,5040,290,43293,6844,1779,0,9,36449,0,0,1261,1,55,0,0,1,0,0,0,0,1,0,0,0,0,0
28,44908,523,3,7,28865,72,1,398,0,2,0,0,0,0,12,16,6345,523,39156,81019,3742,0,3,8935,0,0,827,0,56,0,0,1,0,0,0,0,1,0,0,1,0,0
46,35690,545,3,24,14697,24,1,676,0,2,0,0,0,0,17,6,8016,459,67015,12567,2974,0,3,54448,0,0,746,0,59,0,0,1,0,0,0,1,0,1,0,0,0,0
55,60957,624,2,37,13081,96,0,424,0,4,1,0,0,0,20,18,2666,2356,613024,110788,5079,0,2,502236,0,0,333,0,32,0,0,1,0,0,0,0,0,0,0,0,0,1
47,45930,634,1,27,11095,60,1,305,0,2,2,0,0,1,21,19,1787,1620,63365,11050,3827,0,5,52315,0,0,292,0,59,0,0,1,0,0,0,0,0,0,0,0,1,0
45,106737,619,1,24,83585,36,3,511,0,1,0,0,0,1,35,27,2785,9280,30212,6832,8894,0,5,23380,0,0,3524,0,56,0,0,0,0,1,0,1,0,0,0,0,0,0
26,77555,527,3,5,22854,36,0,499,0,6,1,0,0,0,19,22,8710,691,39027,9580,6462,0,5,29447,0,0,849,0,39,0,0,1,0,0,0,0,1,0,1,0,0,1
33,64263,641,5,10,45079,48,0,171,0,2,1,0,0,0,18,4,3026,327,28454,9229,5355,0,3,19225,0,0,1369,0,52,0,0,1,0,0,0,1,0,0,0,1,0,0
36,38898,622,3,13,24418,84,0,823,0,1,1,0,0,1,37,1,7707,308,16850,18330,3241,0,1,6132,0,0,661,0,58,0,0,1,0,0,0,0,1,0,0,1,0,0
29,30796,597,3,10,45198,96,2,485,0,1,0,0,0,0,17,22,310,1502,134450,24131,2566,0,6,110319,0,0,1209,0,46,0,0,1,0,0,0,1,0,0,0,1,0,0
37,36029,573,1,15,10649,60,2,517,0,5,1,0,0,0,16,18,6846,1476,221987,8966,3002,0,7,213021,0,0,299,0,48,0,0,1,0,0,0,0,1,0,0,0,0,0
64,108420,599,1,41,25619,60,1,400,0,1,1,0,0,0,26,26,1973,1749,9537,96829,9035,0,4,3759,0,0,706,0,42,0,0,1,0,0,0,1,0,0,0,0,0,1
44,71617,624,4,21,14223,24,0,318,0,7,0,0,0,0,23,28,400,958,107241,86544,5968,0,6,20697,0,0,714,0,40,0,0,1,0,0,0,0,0,0,0,1,0,1
35,79411,579,2,13,19453,48,3,799,0,2,1,0,0,0,24,18,2326,884,56890,22912,6617,0,8,33978,0,0,606,0,44,0,0,1,0,0,0,0,0,1,0,0,0,1
33,66880,633,4,10,19470,48,1,167,0,5,1,0,0,0,22,8,4279,3973,76087,23940,5573,0,6,52147,0,0,600,0,41,0,0,1,0,0,0,0,0,0,0,0,0,1
28,52839,534,4,5,18681,72,0,369,0,2,0,0,0,0,19,16,476,1003,15611,181910,4403,0,4,5593,0,0,565,0,56,1,0,0,1,0,0,0,1,0,0,0,0,0
39,57488,602,4,15,17953,60,2,189,0,5,0,0,0,0,15,25,3130,924,174562,5743,4790,0,0,168819,0,0,490,0,36,0,0,1,0,0,0,1,0,0,0,1,0,1
39,47586,620,2,15,18041,36,1,570,0,0,1,0,0,0,31,14,3068,2024,34759,51494,3965,0,4,5396,0,0,675,0,53,0,0,1,0,0,0,0,0,0,0,1,0,0
52,37808,543,1,29,28006,36,0,575,0,0,2,0,0,0,23,14,2158,3951,8380,86710,3150,0,10,9426,0,0,1105,0,53,0,1,0,0,0,0,0,1,1,0,0,0,0
59,52411,628,2,36,34147,60,2,387,0,3,1,0,0,0,21,1,13299,383,76679,92422,4367,0,10,10337,0,0,926,0,51,0,0,1,0,0,0,0,0,0,0,1,0,0
58,21995,652,2,35,16522,48,1,225,0,2,1,0,0,1,32,26,751,2184,44998,7473,1832,0,7,37525,0,0,489,0,57,0,0,1,0,0,0,0,0,1,0,0,0,0
47,87218,598,3,28,16333,24,1,1126,0,2,0,0,0,0,26,8,5086,205,400561,33629,7268,0,7,366932,0,0,827,0,36,0,0,1,0,0,0,0,0,1,0,0,0,1
34,30020,450,1,12,30756,72,0,294,0,6,3,0,1,0,36,1,8076,200,53940,2169,2501,0,3,51771,0,0,874,0,73,0,1,0,0,1,0,0,1,0,0,1,0,0
47,304122,586,2,23,9365,24,0,410,0,2,2,0,0,0,21,24,2246,3037,50058,3890,12941,0,7,46168,0,0,469,0,43,0,0,1,0,0,0,1,0,0,1,0,0,1
33,54950,631,3,12,18400,36,0,570,0,7,1,0,0,1,22,9,6532,121,12551,49126,4579,0,6,1176,0,0,672,0,55,0,0,1,0,0,0,1,0,0,0,1,0,0
47,44648,535,2,23,9759,96,3,634,0,2,0,0,0,0,19,2,6177,2786,45214,15101,3720,0,4,30113,0,0,291,0,57,0,0,1,0,0,0,0,1,0,0,1,0,0
50,39977,596,1,25,33084,60,1,654,0,2,1,0,0,0,38,17,1882,614,105159,64476,3331,0,6,40683,0,0,1042,0,56,0,0,0,1,0,0,0,1,1,0,0,0,0
27,61723,627,5,4,34456,36,1,646,0,2,2,0,1,0,15,6,2340,887,184743,13094,5143,0,6,171649,0,0,1355,0,58,0,0,1,0,0,0,0,0,1,0,0,0,0
40,53045,527,1,17,45197,60,2,590,0,6,0,0,0,0,23,4,4441,779,219536,52195,4420,0,7,167341,0,0,1461,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0
42,45271,568,5,23,20946,24,2,384,0,4,2,0,0,0,26,4,7825,1417,35166,35863,3772,0,3,3434,0,0,1075,0,59,0,0,1,0,0,0,0,0,0,1,0,0,0
22,28635,610,3,0,23737,36,1,344,0,6,2,0,0,0,22,28,3539,1128,83259,31668,2386,0,5,51591,0,0,852,0,48,0,0,0,1,0,0,1,0,0,0,1,0,0
29,42234,553,1,6,8570,24,3,322,0,4,1,0,0,0,25,19,3570,396,60100,21128,3519,0,9,38972,0,0,428,0,51,0,0,0,0,0,1,0,0,1,0,0,0,0
52,20675,517,1,33,8699,12,0,92,0,5,1,0,0,0,19,12,796,1339,36622,2641,1722,0,3,33981,0,0,815,0,59,0,0,0,1,0,1,0,0,0,1,0,0,0
54,54388,562,1,32,15649,36,1,229,0,2,0,0,0,0,30,26,3245,652,388701,6653,4532,0,1,382048,0,0,584,0,36,0,0,1,0,0,0,0,0,0,0,1,0,1
45,89809,531,4,22,13302,36,0,143,0,5,1,0,0,0,24,11,2908,1234,23758,42754,7484,0,7,7903,0,0,519,0,39,0,0,0,1,0,0,0,1,0,0,1,0,1
19,125882,504,1,0,26768,24,0,124,0,2,2,0,0,0,26,11,2075,275,23591,19998,10490,0,3,3593,0,0,1394,0,40,0,0,0,1,0,0,0,1,0,1,0,0,1
35,15000,613,3,12,20065,72,1,312,0,3,0,0,0,0,33,25,5587,328,17707,78159,1250,0,4,3146,0,0,506,0,51,1,0,1,0,0,0,0,0,0,0,0,0,0
41,41344,517,1,18,10944,36,2,155,0,5,3,0,0,0,20,28,2140,254,113568,18936,3445,0,6,94632,0,0,414,0,46,0,0,0,0,0,0,0,0,0,0,0,1,1
21,15000,407,1,0,22344,36,2,362,0,5,0,0,0,0,21,15,1829,1190,30532,14858,1250,0,7,15674,0,0,936,1,53,0,0,0,1,0,0,0,0,0,0,1,0,0
30,27943,556,2,4,18744,48,2,123,0,7,1,0,0,0,25,20,8796,5260,31536,6180,2328,0,3,25356,0,0,607,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
40,47384,643,4,17,9445,36,0,263,0,5,0,0,0,0,23,12,6969,366,50805,55466,3948,0,4,7691,0,0,345,0,38,0,0,0,0,0,0,1,0,0,0,0,0,1
24,56153,556,3,0,125733,60,5,267,0,2,3,0,0,0,18,8,5189,825,33188,354314,4679,0,5,8520,0,0,4136,0,53,0,0,1,0,0,0,1,0,0,0,1,0,0
48,31340,506,3,27,16316,60,1,235,0,3,2,0,0,1,26,3,7065,1159,60144,15667,2611,0,3,44477,0,0,519,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0
28,73344,549,2,3,36647,48,0,894,0,2,0,0,0,0,19,11,2473,333,225765,47971,6112,0,4,177794,0,0,1273,0,45,0,0,1,0,0,0,0,1,0,0,0,0,0
32,96514,474,3,14,32837,36,2,283,0,5,1,0,0,0,35,2,3141,317,14783,18083,8042,0,6,10554,0,0,1397,0,59,0,0,0,0,0,0,1,0,0,0,1,0,0
32,46376,616,3,10,22235,36,2,468,0,3,2,0,0,0,22,27,1821,1516,98707,4376,3864,0,3,94331,0,0,826,0,53,1,0,0,0,0,0,1,0,1,0,0,0,0
40,15000,648,5,19,13830,24,0,660,0,1,2,0,0,1,31,7,2615,437,38306,30536,1250,0,4,7770,0,0,684,1,61,0,0,1,0,0,0,0,0,0,0,1,0,0
40,85369,610,5,16,13435,72,0,167,0,2,0,0,0,0,32,9,4337,1460,35678,14565,7114,0,2,21113,0,0,351,0,37,0,0,0,1,0,0,1,0,0,0,0,0,1
47,49936,492,2,23,30787,120,2,480,0,2,0,0,0,0,29,15,20264,338,1138334,21651,4161,0,3,1116683,0,0,966,0,38,1,0,0,1,0,0,1,0,0,1,0,0,1
41,61415,659,5,21,8463,60,0,452,0,7,0,0,0,0,21,23,4680,173,23883,6615,5117,0,3,17268,0,0,224,0,36,0,0,0,1,0,0,0,0,1,0,0,0,1
61,59513,582,1,38,12748,36,0,816,0,2,2,0,0,0,26,6,829,3868,38332,30267,4959,0,2,8065,0,0,472,0,55,0,0,0,0,0,0,0,0,0,1,0,0,0
54,126879,601,2,32,42538,60,0,176,0,3,0,0,0,0,17,29,8982,2869,95291,5411,10573,0,8,89880,0,0,1252,0,33,0,0,0,1,0,0,1,0,0,1,0,0,1
24,42657,533,4,1,23508,24,1,198,0,2,1,0,0,1,26,22,2147,2030,4757,4255,3554,0,5,8481,0,0,1241,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0
53,97788,634,3,29,19625,36,1,617,0,4,0,0,0,0,31,7,1105,1708,49074,9818,8149,0,7,39256,0,0,682,0,41,0,0,0,1,0,1,0,0,0,0,1,0,1
42,21791,585,1,16,29821,36,4,400,0,2,2,0,0,0,23,23,896,1060,32984,12420,1815,0,5,20564,0,0,1124,0,55,0,0,1,0,0,0,0,0,1,0,0,0,0
25,44763,588,1,2,29517,48,1,262,0,1,1,0,0,0,25,12,12535,1115,105055,65758,3730,0,8,39297,0,0,959,0,59,0,0,1,0,0,0,1,0,1,0,0,0,0
26,32620,490,2,4,18777,24,2,440,0,2,0,0,0,0,11,29,737,249,79568,12453,2718,0,6,67115,0,0,1008,0,49,0,0,1,0,0,0,0,0,0,1,0,0,0
40,85665,599,1,16,43640,36,1,654,0,2,2,0,1,1,34,12,696,3136,17730,80898,7138,0,4,4655,0,0,1764,0,67,0,0,1,0,0,0,1,0,0,1,0,0,0
68,75930,657,2,47,14771,36,2,215,0,2,2,0,0,0,16,16,2456,476,152012,31868,6327,0,8,120144,0,0,528,0,38,0,0,0,1,0,0,0,1,1,0,0,0,1
43,170396,620,5,22,14502,24,0,369,0,2,0,0,0,0,21,6,1971,1515,51580,59251,9168,0,5,7030,0,0,700,0,42,0,1,0,1,0,0,1,0,0,1,0,0,1
63,91632,505,2,42,17804,72,2,405,0,10,1,0,0,1,29,5,1924,1370,174053,15451,7636,0,4,158602,0,0,544,0,64,1,0,1,0,0,0,0,0,1,0,0,0,0
61,107621,662,4,39,10543,48,5,318,0,2,1,0,0,0,22,29,2273,581,179537,16843,8968,0,3,162694,0,0,323,0,36,0,0,0,1,0,0,0,1,0,0,1,0,1
47,37035,472,1,23,34791,48,4,782,0,2,2,0,0,0,24,4,8695,910,58701,8235,3086,0,3,50466,0,0,1147,0,57,0,0,1,0,0,0,0,0,0,0,1,0,0
30,18558,559,1,9,9354,24,2,577,0,3,0,0,0,0,26,14,1267,1606,24388,25342,1546,0,7,5207,0,0,491,0,58,0,0,1,0,0,0,0,0,0,0,0,1,0
44,65599,504,2,25,18301,72,0,347,0,4,2,0,0,0,38,15,2656,2232,138720,16488,5466,0,7,122232,0,0,474,0,36,0,0,0,0,0,0,0,1,1,0,0,0,1
18,49953,537,2,0,20441,36,3,500,0,4,1,0,0,1,23,14,3569,205,514239,16683,4162,0,4,497556,0,0,808,0,52,0,0,1,0,0,0,0,0,0,0,1,0,0
30,28185,394,3,6,9239,36,5,199,0,5,2,0,0,0,22,12,1756,8713,109518,23366,2348,0,8,86152,0,0,388,0,54,0,0,1,0,0,0,0,0,0,1,0,0,0
41,18888,588,1,16,27906,60,5,852,0,2,2,0,0,0,19,19,5554,2759,291148,4242,1574,0,6,286906,0,0,759,1,51,0,0,0,0,0,0,0,1,0,0,1,0,0
18,46327,502,2,0,12693,12,2,394,0,5,2,0,0,0,13,13,3333,495,14511,20692,3860,0,5,9204,0,0,1200,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0
